company,rank,rank_change,revenue,profit,num of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Ingersoll Rand,550,0.0,5655.2,562.5,16000.0,Industrials,Davidson,NC,no,no,no,yes, ,Vicente Reynal,https://www.irco.com,IR,20541.2
Hologic,551,0.0,5632.3,1871.5,6705.0,Health Care,Marlborough,MA,no,no,no,yes, ,Stephen MacMillan,https://www.hologic.com,HOLX,16063
Electronic Arts,552,0.0,5629.0,837.0,11000.0,Media,Redwood City,CA,no,no,no,yes, ,Andrew Wilson,https://www.ea.com,EA,35577.4
Zebra Technologies,553,0.0,5627.0,837.0,9800.0,Industrials,Lincolnshire,IL,no,no,no,yes, ,Anders Gustafsson,https://www.zebra.com,ZBRA,21959.1
Coty,554,0.0,5616.2,-201.3,11430.0,Household Products,New York,NY,no,no,yes,no, ,Sue Y. Nabi,https://www.coty.com,COTY,7540.6
Schneider National,555,0.0,5608.7,405.4,17050.0,Transportation,Green Bay,WI,no,no,no,yes, ,Mark B. Rourke,https://www.schneider.com,SNDR,4551.6
Sonoco Products,556,0.0,5590.4,-85.5,20500.0,Materials,Hartsville,SC,no,no,no,no, ,R. Howard Coker,https://www.sonoco.com,SON,6099.1
Concentrix,557,0.0,5587.0,405.6,290000.0,Technology,Fremont,CA,no,no,no,yes, ,Christopher A. Caldwell,https://www.concentrix.com,CNXC,8605.2
Evergy,558,0.0,5586.7,879.7,4930.0,Energy,Kansas City,MO,no,no,no,yes, ,David A. Campbell,https://http://investors.evergy.com,EVRG,15512.7
Cornerstone Building Brands,559,0.0,5583.1,665.9,21700.0,Materials,Cary,NC,no,no,yes,yes, ,Rose Lee,https://www.cornerstonebuildingbrands.com,,3088.7
Coca-Cola Consolidated,560,0.0,5562.7,189.6,15050.0,"Food, Beverages & Tobacco",Charlotte,NC,no,no,no,yes, ,J. Frank Harrison III,https://www.cokeconsolidated.com,COKE,4657.3
Greif,561,0.0,5556.1,390.7,16000.0,Materials,Delaware,OH,no,no,no,yes, ,Ole Rosgaard,https://www.greif.com,GEF,3134
Vulcan Materials,562,0.0,5552.2,670.8,11912.0,Materials,Birmingham,AL,no,no,no,yes, ,J. Thomas Hill,https://www.vulcanmaterials.com,VMC,24412.7
Ametek,563,0.0,5546.5,990.1,18500.0,Technology,Berwyn,PA,no,no,no,yes, ,David A. Zapico,https://www.ametek.com,AME,30787.3
Monster Beverage,564,0.0,5541.4,1377.5,3775.0,"Food, Beverages & Tobacco",Corona,CA,no,no,no,yes, ,#REF!,https://www.monsterbevcorp.com,MNST,42295.8
Sealed Air,565,0.0,5533.8,506.8,16500.0,Materials,Charlotte,NC,no,no,no,yes, ,Edward L. Doheny II,https://www.sealedair.com,SEE,9920.7
NOV,566,0.0,5524.0,-250.0,27043.0,Energy,Houston,TX,no,no,no,no, ,Clay C. Williams,https://www.nov.com,NOV,7700.2
Las Vegas Sands,567,0.0,5505.0,-961.0,44600.0,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,no, ,Robert G. Goldstein,https://www.sands.com,LVS,29696.4
Martin Marietta Materials,568,0.0,5493.2,702.5,10000.0,Materials,Raleigh,NC,no,no,no,yes, ,C. Howard Nye,https://www.martinmarietta.com,MLM,24015.1
Marathon Oil,569,0.0,5467.0,946.0,1531.0,Energy,Houston,TX,no,no,no,yes, ,Lee M. Tillman,https://www.marathonoil.com,MRO,18349.5
Mattel,570,0.0,5457.7,903.0,36300.0,Household Products,El Segundo,CA,no,no,no,yes, ,Ynon Kreiz,https://www.mattel.com,MAT,7823.3
Microchip Technology,571,0.0,5438.4,349.4,19500.0,Technology,Chandler,AZ,no,no,no,yes, ,Ganesh Moorthy,https://www.microchip.com,MCHP,41777.1
